"	num_examples	official_name_id_x	id	text_name	author	rank	deprecated	synonym_id	correct_spelling_id	official_name_id_y",,,
"2159	236	5593.0	5593	Parasola auricoma	(Pat.) Redhead"," Vilgalys & Hopple	4	0	3252.0		-1",,
"8385	236	44345.0	44345	Cyanoboletus pulverulentus	(Opat.) Gelardi"," Vizzini & Simonini	4	0	2599.0		-1",,
"243	237	358.0	358	Arrhenia epichysium	(Pers.) Redhead", Lutzoni," Moncalvo & Vilgalys	4	0	718.0		-1",
"743	237	1405.0	1405	Amanita abrupta	Peck	4	0	557.0		-1",,,
"2060	237	5351.0	5351	Reticularia lycoperdon	Bull.	4	0	3194.0		-1",,,
"309	238	452.0	452	Phylloporus rhodoxanthus	(Schwein.) Bres.	4	0	646.0		-1",,,
"4278	238	16441.0	16441	Peziza phyllogena	Cooke	4	0	3211.0		-1",,,
"4502	239	17986.0	17986	Gyromitra ancilis	(Pers.) Kreisel	4	0	111.0		-1",,,
"46	240	72.0	72	Russula sanguinea	(Bull.) Fr.	4	0	349.0		-1",,,
"1503	240	3450.0	3450	Psathyrella bipellis	(Qu̩l.) A.H. Sm.	4	0			-1",,,
"128	241	192.0	192	Laetiporus conifericola	Burds. & Banik	4	0			-1",,,
"717	241	1352.0	1352	Agaricus placomyces	Peck	4	0			-1",,,
"1633	241	3705.0	3705	Scleroderma polyrhizum	(J.F. Gmel.) Pers.	4	0	353.0		-1",,,
"3864	241	15078.0	15078	Amanita praecox	Y. Lamoureux nom. prov.	4	0			-1",,,
"9201	241	51256.0	51256	Lentinus brumalis	(Pers.) Zmitr.	4	0	5760.0		-1",,,
"381	242	567.0	567	Tricholoma portentosum	(Fr.) Qu̩l.	4	0			-1",,,
"390	242	587.0	587	Crepidotus applanatus	(Pers.) P. Kumm.	4	0			-1",,,
"428	242	661.0	661	Inocybe lilacina	(Peck) Kauffman	4	0	3833.0		-1",,,
"1936	242	4943.0	4943	Gymnopilus thiersii	M.T. Seidl	4	0			-1",,,
"147	243	220.0	220	Hygrophorus russula	(Schaeff.) Kauffman	4	0	2557.0		-1",,,
