"","x"
"128",0.0942736553810591
"129",0.0946098170290767
"130",0.0932824873509685
"131",0.0935745279351385
"132",0.094110844465002
"133",0.0945841345893175
"134",0.094424367726347
"135",0.095657411773873
"136",0.0959269548799174
"137",0.0629828212802622
"138",0.0644931913405525
"139",0.0639950797869375
"140",0.0632611153134782
"141",0.0622583339856837
"142",0.0618239589943906
"143",0.061409800546284
"144",0.0611849226436645
"145",0.0594718717898309
"146",0.0588272658411349
"147",0.0588652652542409
"148",0.0564864390727942
"149",0.0605043765428283
"150",0.0619464505376958
"151",0.0592584721022845
"152",0.0596934653251328
"153",0.0569521183797928
"154",0.0577758978266279
"155",0.0585595243852449
"156",0.0598060343756221
"157",0.0597505639805088
"158",0.0607386243179749
"159",0.0640192183890667
"160",0.0648369809922827
"161",0.06451992193814
"162",0.0669840251215369
"163",0.0658268866284273
"164",0.0653815377734667
"165",0.0652094772872684
"166",0.0661243462902781
"167",0.0653041713979725
"168",0.063519548290403
"169",0.0613727785147533
"170",0.0608794758138447
"171",0.0604394936517726
"172",0.060454059010831
"173",0.0609660550204851
"174",0.0610821855467857
"175",0.0610775616269379
"176",0.0616778063711804
"177",0.0611948369697239
"178",0.0592784945626081
"179",0.0582795760029057
"180",0.0586882048491897
"181",0.062273420108187
"182",0.0629981093033876
"183",0.0623564098680828
"184",0.0640192506265233
"185",0.0623274833729478
"186",0.0607906910258125
"187",0.0603581240001554
"188",0.0603114687384079
"189",0.0599761159558384
"190",0.0604092354857934
"191",0.060382774481394
"192",0.060908453143458
"193",0.061743306984113
"194",0.0613996848554257
"195",0.0614426785575115
"196",0.0607177973608816
"197",0.0608297088875046
"198",0.060882757929023
"199",0.0621934075268563
"200",0.062227647070182
"201",0.0642565502999855
"202",0.0666787803448739
"203",0.0673763761690988
"204",0.0683324044313029
"205",0.0680356179376501
"206",0.0682099286645922
"207",0.0686450917901695
"208",0.0671813979033779
"209",0.0682317773054309
"210",0.0672912647806641
"211",0.0679356217576369
"212",0.0668679239765107
"213",0.0651158776517707
"214",0.0637331871936445
"215",0.0622973922971819
"216",0.0624298976870253
"217",0.059567084513812
"218",0.0614436445116798
"219",0.0631630521018669
"220",0.062920000310106
"221",0.0633494638093965
"222",0.064230843290614
"223",0.0638858274994395
"224",0.0641103767162297
"225",0.0651587505156057
"226",0.065213705141794
"227",0.0649337026395187
"228",0.0645763096700142
"229",0.0581559212485607
"230",0.0590242718313255
"231",0.0593547502422382
"232",0.058970303962108
"233",0.0579117116744105
"234",0.0577820234364842
"235",0.0561541036378943
"236",0.0552818498461524
"237",0.0557601049813616
"238",0.0566111310820376
"239",0.0575440690991456
"240",0.0583819449410464
"241",0.0589957875891484
"242",0.0585182069576808
"243",0.0585643872489369
"244",0.0593958423954641
"245",0.0602570949580718
"246",0.0603469744539526
"247",0.060710825487061
"248",0.0611241616252504
"249",0.060733574062351
"250",0.0608941593065629
"251",0.0601593730958216
"252",0.0591664648872482
"253",0.0588281469320223
"254",0.0591277086759549
"255",0.0584747943503001
"256",0.0568349544307358
"257",0.0564227903259689
"258",0.057339348858702
"259",0.05724293801665
"260",0.0571350844548722
"261",0.0572483866734124
"262",0.05773660164291
"263",0.0572192138808777
"264",0.0563920321535254
"265",0.0567147424750235
"266",0.0563987983806638
"267",0.0568144483746371
