	id_temp	official_name_id
35487	55561	55561.0
35488	55562	55562.0
35489	55563	55563.0
35490	55564	55564.0
35491	55565	55565.0
35492	55566	55566.0
35493	55567	55567.0
35494	55568	55568.0
35495	55569	55569.0
35496	55570	55570.0
35497	55571	55571.0
35498	55572	55572.0
35499	55573	55573.0
35500	55574	55574.0
35501	55575	55575.0
35502	55576	55576.0
35503	55577	55577.0
35504	55578	55578.0
35505	55579	55579.0
35506	55580	55580.0
35507	55581	55581.0
35508	55582	55582.0
35509	55583	55583.0
35510	55584	55584.0
35511	55585	55585.0
35512	55586	55586.0
35513	55587	55587.0
35514	55588	55588.0
35515	55589	55589.0
35516	55590	55590.0
35517	55591	55591.0
35518	55592	55592.0
35519	55593	55593.0
35520	55594	55594.0
35521	55595	55595.0
35522	55596	55596.0
35523	55597	55597.0
35524	55598	55598.0
35525	55599	55599.0
35526	55600	55600.0
35527	55601	55601.0
35528	55602	55602.0
35529	55603	55603.0
35530	55604	55604.0
35531	55605	55605.0
35532	55606	55606.0
35533	55607	55607.0
35534	55608	55608.0
35535	55609	55609.0
35536	55610	55610.0
35537	55611	55611.0
35538	55612	55612.0
35539	55613	55613.0
35540	55614	55614.0
35541	55615	55615.0
35542	55616	55616.0
35543	55617	55617.0
35544	55618	55618.0
35545	55619	55619.0
35546	55620	55620.0
35547	55621	55621.0
35548	55622	55622.0
35549	55623	55623.0
35550	55624	55624.0
35551	55625	55625.0
35552	55626	55626.0
35553	55627	55627.0
35554	55628	55628.0
35555	55629	55629.0
35556	55630	55630.0
35557	55631	55631.0
35558	55632	55632.0
35559	55633	55633.0
35560	55634	55634.0
35561	55635	55635.0
35562	55636	55636.0
35563	55637	55637.0
35564	55638	55638.0
35565	55639	55639.0
35566	55640	55640.0
35567	55641	55641.0
35568	55642	55642.0
35569	55643	55643.0
35570	55644	55644.0
35571	55645	55645.0
35572	55646	55646.0
35573	55647	55647.0
35574	55648	55648.0
35575	55649	55649.0
35576	55650	55650.0
35577	55651	55651.0
35578	55652	55652.0
35579	55653	55653.0
35580	55654	55654.0
35581	55655	55655.0
35582	55656	55656.0
35583	55657	55657.0
35584	55658	55658.0
35585	55659	55659.0
35586	55660	55660.0
35587	55661	55661.0
35588	55662	55662.0
35589	55663	55663.0
35590	55664	55664.0
35591	55665	55665.0
35592	55666	55666.0
35593	55667	55667.0
35594	55668	55668.0
35595	55669	55669.0
35596	55670	55670.0
35597	55671	55671.0
35598	55672	55672.0
35599	55673	55673.0
35600	55674	55674.0
35601	55675	55675.0
35602	55676	55676.0
35603	55677	55677.0
35604	55678	55678.0
35605	55679	55679.0
35606	55680	55680.0
35607	55681	55681.0
35608	55682	55682.0
35609	55683	55683.0
35610	55684	55684.0
35611	55685	55685.0
35612	55686	55686.0
35613	55687	55687.0
35614	55688	55688.0
35615	55689	55689.0
35616	55690	55690.0
35617	55691	55691.0
35618	55692	55692.0
35619	55693	55693.0
35620	55694	55694.0
35621	55695	55695.0
35622	55696	55696.0
35623	55697	55697.0
35624	55698	55698.0
35625	55699	55699.0
35626	55700	55700.0
35627	55701	55701.0
35628	55702	55702.0
35629	55703	55703.0
35630	55704	55704.0
35631	55705	55705.0
35632	55706	55706.0
35633	55707	55707.0
35634	55708	55708.0
35635	55709	55709.0
35636	55710	55710.0
35637	55711	55711.0
35638	55712	55712.0
35639	55713	55713.0
35640	55714	55714.0
35641	55715	55715.0
35642	55716	55716.0
35643	55717	55717.0
35644	55718	55718.0
35645	55719	55719.0
35646	55720	55720.0
35647	55721	55721.0
35648	55722	55722.0
35649	55723	55723.0
35650	55724	55724.0
35651	55725	55725.0
35652	55726	55726.0
35653	55727	55727.0
35654	55728	55728.0
35655	55729	55729.0
35656	55730	55730.0
35657	55731	55731.0
35658	55732	55732.0
35659	55733	55733.0
35660	55734	55734.0
35661	55735	55735.0
35662	55736	55736.0
35663	55737	55737.0
35664	55738	55738.0
35665	55739	55739.0
