id	name	north	south	east	west
114	Camp Long, Seattle, Washington, USA	47.562	47.5538	-122.37	-122.376
115	Chazy, New York, USA	44.915	44.87	-73.4179	-73.4608
116	Ti Bar Fire Station, Siskiyou Co., California, USA	41.6134	41.5792	-123.49	-123.542
117	Oakland, California, USA	37.8266	37.7273	-122.111	-122.252
118	Tomales Bay State Park, Marin Co., California, USA	38.1892	38.0455	-122.816	-122.936
119	Rancho Nuevo Trailhead, Pine Mountain, Santa Barbara Co., California, USA	34.6984	34.6907	-119.396	-119.403
120	Oak Bottom Campground, Siskiyou Co., California, USA	41.383	41.3678	-123.408	-123.434
121	Bon Tempe Reservoir, Marin Co., California, USA	37.9699	37.9358	-122.584	-122.642
122	Bolinas Ridge, Marin Co., California, USA	38.0375	37.9832	-122.7	-122.751
123	Joaquin Miller Park, Oakland, California, USA	37.8216	37.8031	-122.175	-122.202
124	Montreat, North Carolina, USA	35.674	35.5831	-82.2691	-82.3645
125	San Francisco, California, USA	37.8141	37.7012	-122.37	-122.518
126	Portola Redwoods State Park, San Mateo Co., California, USA	37.2776	37.2287	-122.161	-122.226
127	China Flats, Ventura Co., California, USA	34.2186	34.1544	-118.712	-118.799
128	Huckleberry Botanic Regional Preserve, Contra Costa Co., California, USA	37.8467	37.8379	-122.184	-122.197
129	El Yunque, Puerto Rico, USA	18.3461	18.2382	-65.705	-65.865
130	Montclair, Oakland, California, USA	37.8566	37.7949	-122.129	-122.225
131	Arlington, Texas, USA	32.7896	32.5514	-97.0313	-97.196
132	Forest Lakes, Arizona, USA	34.3613	34.2949	-110.768	-110.832
133	Calabasas, California, USA	34.2169	34.1562	-118.715	-118.746
134	Samuel P. Taylor State Park, Marin Co., California, USA	38.0692	38.0097	-122.688	-122.775
135	Sonoma Co., California, USA	38.844	38.1129	-122.316	-123.091
136	White Mountains, Arizona, USA	33.9434	33.0271	-109.27	-109.896
138	Windsor, California, USA	38.5671	38.5104	-122.73	-122.871
140	Eastern San Francisco Bay Area, California, USA	37.9795	37.6615	-122.152	-122.354
141	Oakland Hills, Oakland, California, USA	37.9702	37.6077	-121.918	-122.154
142	Soquel Demonstration Forest, Santa Cruz Co., California, USA	37.1072	37.0727	-121.84	-121.918
143	Portola Valley, California, USA	37.398	37.3445	-122.184	-122.242
144	Wollongong, New South Wales, Australia	-34.4197	-34.4457	150.913	150.896
145	Melbourne, Victoria, Australia	-36.9148	-38.7541	146.47	142.559
146	Wellington, New Zealand	-41.2673	-41.32	174.804	174.739
147	Western Australia, Australia	-13.9234	-35.03	128.848	113.203
148	Henry Cowell Redwoods State Park, Santa Cruz Co., California, USA	37.04	37.01	-122.039	-122.077
149	McKinleyville, California, USA	40.976	40.918	-124.035	-124.127
150	Cristalino Jungle Lodge, Alta Floresta, Mato Grosso, Brazil	-9.59742	-9.59742	-55.9312	-55.9312
151	Mill Valley, California, USA	37.921	37.897	-122.515	-122.562
152	Virginia, USA	39.466	36.5408	-75.2422	-83.6754
153	Ohio, USA	41.71	38.43	-80.5	-84.78
154	Mastatal, Costa Rica	9.69573	9.65173	-84.3372	-84.4012
155	Czech Republic	50.91	48.62	18.8	12.3
156	Auckland, New Zealand	-36.837	-36.868	174.794	174.744
157	Eye See Rd., Orleans, California, USA	41.3699	41.3397	-123.527	-123.562
159	Big Thicket, Polk Co., Texas, USA	30.6403	30.4428	-94.3025	-94.3918
160	Slate Creek Rd, Humboldt Co., California, USA	41.3149	41.2675	-123.647	-123.705
161	Mendocino Co., California, USA	39.5464	38.7027	-122.97	-123.926
162	King Co., Washington, USA	47.7803	47.0845	-121.066	-122.541
163	Malibu, California, USA	34.0947	33.9946	-118.683	-118.912
165	Pinnacles National Park, California, USA	36.5516	36.397	-121.119	-121.27
166	Marin Co., California, USA	38.1346	37.8098	-122.426	-122.813
167	southwestern Germany, Germany	49.3538	47.5172	13.3154	10.0195
168	Shreveport, Louisiana, USA	32.7411	32.2221	-93.4167	-94.01
169	Camp Creek State Forest, Mercer Co., West Virginia, USA	37.5141	37.4498	-81.1148	-81.2109
170	Lake Owen, Medicine Bow National Forest, Albany Co., Wyoming, USA	41.1807	41.1187	-106.07	-106.149
171	Brookings, Curry Co., Oregon, USA	42.1145	42.0024	-124.144	-124.346
